                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.4249,                 3.1362,                 1.2766,                0.01267,                0.35534,                0.03791,                0.01989,                 1.6332,                 3.3893,                 1.2153,             9.9064e-07,             9.9064e-07,             9.9064e-07
                     33,                 1.4384,                 3.1228,                 1.2809,                0.01201,                0.23596,                 0.0394,                0.02082,                 1.6328,                 3.3856,                 1.2142,             9.9003e-07,             9.9003e-07,             9.9003e-07
                     34,                 1.4537,                 3.1135,                 1.2842,                 0.0108,                0.20014,                0.04116,                0.02194,                 1.6321,                 3.3808,                 1.2128,              9.894e-07,              9.894e-07,              9.894e-07
                     35,                 1.4099,                 3.1078,                 1.2745,                0.01076,                0.17275,                0.04442,                 0.0236,                 1.6306,                 3.3739,                 1.2117,             9.8875e-07,             9.8875e-07,             9.8875e-07
                     36,                 1.4323,                 3.1175,                 1.2719,                0.01209,                 0.1552,                0.04514,                0.02389,                 1.6307,                 3.3748,                 1.2113,             9.8808e-07,             9.8808e-07,             9.8808e-07
                     37,                 1.4266,                 3.1034,                 1.2783,                0.03523,                0.12711,                0.04694,                0.02509,                 1.6301,                 3.3696,                 1.2101,             9.8739e-07,             9.8739e-07,             9.8739e-07
                     38,                 1.4405,                 3.1098,                 1.2728,                 0.0473,                0.11798,                0.04739,                0.02527,                 1.6303,                 3.3681,                 1.2098,             9.8668e-07,             9.8668e-07,             9.8668e-07
                     39,                 1.4534,                 3.1109,                 1.2781,                0.04842,                0.12149,                0.04945,                0.02628,                 1.6292,                 3.3656,                  1.209,             9.8596e-07,             9.8596e-07,             9.8596e-07
                     40,                 1.4165,                 3.0963,                 1.2678,                0.08794,                0.11166,                0.05188,                0.02759,                  1.629,                 3.3618,                 1.2082,             9.8521e-07,             9.8521e-07,             9.8521e-07
                     41,                  1.463,                 3.1006,                 1.2832,                0.11283,                0.10815,                0.05295,                0.02813,                 1.6278,                 3.3592,                  1.207,             9.8445e-07,             9.8445e-07,             9.8445e-07
                     42,                 1.4172,                 3.0852,                 1.2728,                0.16463,                0.10112,                 0.0556,                0.02975,                 1.6263,                 3.3544,                 1.2054,             9.8367e-07,             9.8367e-07,             9.8367e-07
                     43,                 1.4536,                 3.0915,                 1.2797,                0.16201,                0.10042,                0.05621,                0.03002,                 1.6264,                 3.3547,                 1.2052,             9.8286e-07,             9.8286e-07,             9.8286e-07
                     44,                 1.4616,                   3.08,                 1.2726,                0.18224,                0.09551,                 0.0577,                0.03063,                 1.6257,                 3.3494,                  1.204,             9.8204e-07,             9.8204e-07,             9.8204e-07
                     45,                  1.425,                 3.0725,                 1.2703,                0.20061,                0.09059,                0.05908,                0.03169,                 1.6248,                 3.3482,                 1.2032,              9.812e-07,              9.812e-07,              9.812e-07
                     46,                 1.4345,                 3.0742,                 1.2602,                 0.2282,                0.08919,                0.06013,                0.03189,                 1.6241,                 3.3466,                 1.2023,             9.8035e-07,             9.8035e-07,             9.8035e-07
                     47,                 1.4212,                 3.0629,                 1.2616,                0.25856,                0.08848,                0.06291,                0.03354,                 1.6238,                  3.342,                  1.201,             9.7947e-07,             9.7947e-07,             9.7947e-07
                     48,                 1.4235,                 3.0582,                 1.2565,                0.34185,                0.07444,                0.06509,                 0.0348,                 1.6237,                 3.3372,                 1.1995,             9.7857e-07,             9.7857e-07,             9.7857e-07
                     49,                 1.4135,                   3.05,                 1.2649,                0.39395,                0.07022,                0.06727,                0.03583,                  1.623,                 3.3329,                 1.1981,             9.7766e-07,             9.7766e-07,             9.7766e-07
                     50,                 1.4485,                  3.056,                 1.2695,                0.45299,                 0.0639,                0.06978,                0.03672,                  1.623,                 3.3294,                 1.1974,             9.7672e-07,             9.7672e-07,             9.7672e-07
                     51,                 1.4345,                 3.0471,                 1.2558,                0.49485,                0.05688,                0.07076,                0.03734,                 1.6214,                 3.3289,                 1.1967,             9.7577e-07,             9.7577e-07,             9.7577e-07
                     52,                  1.449,                 3.0645,                 1.2652,                0.55532,                0.05056,                0.07222,                0.03798,                 1.6213,                 3.3261,                 1.1965,              9.748e-07,              9.748e-07,              9.748e-07
                     53,                 1.4273,                 3.0401,                 1.2681,                0.56963,                0.05019,                0.07313,                0.03863,                 1.6207,                 3.3231,                 1.1959,             9.7381e-07,             9.7381e-07,             9.7381e-07
                     54,                 1.4606,                 3.0615,                 1.2706,                0.59314,                0.04565,                0.07369,                0.03877,                   1.62,                  3.324,                 1.1957,             9.7281e-07,             9.7281e-07,             9.7281e-07
                     55,                 1.4433,                 3.0384,                  1.266,                0.64816,                 0.0414,                0.07555,                0.03988,                 1.6197,                 3.3196,                 1.1952,             9.7178e-07,             9.7178e-07,             9.7178e-07
                     56,                 1.4324,                 3.0474,                 1.2549,                0.64864,                0.04213,                0.07565,                0.04032,                 1.6201,                 3.3201,                  1.195,             9.7074e-07,             9.7074e-07,             9.7074e-07
                     57,                 1.4311,                 3.0323,                 1.2624,                0.65527,                0.04284,                0.07843,                0.04116,                 1.6195,                 3.3185,                  1.194,             9.6967e-07,             9.6967e-07,             9.6967e-07
                     58,                 1.4386,                 3.0339,                 1.2505,                0.68761,                 0.0371,                0.07872,                 0.0415,                 1.6188,                 3.3155,                  1.193,             9.6859e-07,             9.6859e-07,             9.6859e-07
                     59,                 1.4416,                 3.0369,                 1.2556,                0.67773,                0.03545,                0.08041,                0.04198,                 1.6192,                 3.3135,                 1.1926,             9.6749e-07,             9.6749e-07,             9.6749e-07
                     60,                 1.4341,                 3.0154,                 1.2587,                 0.6979,                0.03731,                0.08232,                0.04265,                 1.6181,                 3.3091,                 1.1913,             9.6638e-07,             9.6638e-07,             9.6638e-07
                     61,                  1.434,                 3.0319,                 1.2493,                0.69192,                0.03785,                0.08401,                0.04346,                 1.6184,                 3.3089,                 1.1911,             9.6524e-07,             9.6524e-07,             9.6524e-07
                     62,                 1.4314,                 3.0157,                 1.2559,                0.70056,                0.04003,                0.08615,                0.04458,                 1.6179,                 3.3056,                 1.1903,             9.6409e-07,             9.6409e-07,             9.6409e-07
                     63,                 1.4425,                  3.005,                 1.2584,                0.70444,                0.04213,                0.08879,                0.04648,                 1.6184,                 3.3005,                 1.1894,             9.6291e-07,             9.6291e-07,             9.6291e-07
                     64,                 1.4416,                 3.0204,                 1.2541,                0.71211,                0.04343,                0.09053,                0.04764,                 1.6188,                 3.2998,                 1.1893,             9.6172e-07,             9.6172e-07,             9.6172e-07
                     65,                 1.4361,                 3.0108,                 1.2484,                0.70455,                0.04494,                0.09127,                0.04789,                 1.6171,                 3.2969,                 1.1883,             9.6051e-07,             9.6051e-07,             9.6051e-07
                     66,                 1.4356,                  3.015,                 1.2475,                0.71167,                0.04565,                0.09169,                 0.0481,                 1.6171,                 3.2966,                 1.1881,             9.5929e-07,             9.5929e-07,             9.5929e-07
                     67,                 1.4508,                 3.0029,                  1.256,                0.72389,                0.04635,                 0.0927,                0.04831,                 1.6171,                 3.2944,                 1.1874,             9.5804e-07,             9.5804e-07,             9.5804e-07
                     68,                 1.4416,                 2.9874,                 1.2499,                0.72299,                0.04846,                0.09561,                0.04973,                 1.6165,                 3.2913,                 1.1863,             9.5678e-07,             9.5678e-07,             9.5678e-07
