                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                 1.4413,                 2.7476,                 1.2153,                0.83115,                 0.1037,                0.21224,                0.11254,                 1.5908,                 3.1341,                 1.1497,             8.2292e-07,             8.2292e-07,             8.2292e-07
                    141,                 1.4656,                 2.7795,                 1.2141,                0.83149,                0.10395,                 0.2103,                0.11138,                 1.5898,                 3.1356,                 1.1498,             8.2052e-07,             8.2052e-07,             8.2052e-07
                    142,                 1.4485,                 2.7517,                 1.2147,                0.84013,                0.10702,                 0.2134,                0.11257,                 1.5892,                 3.1302,                  1.149,             8.1812e-07,             8.1812e-07,             8.1812e-07
                    143,                 1.4684,                 2.7689,                 1.2211,                0.83665,                0.10604,                0.21261,                0.11249,                 1.5888,                 3.1317,                 1.1493,             8.1571e-07,             8.1571e-07,             8.1571e-07
                    144,                 1.4499,                 2.7494,                 1.2171,                0.83722,                0.10835,                0.21439,                 0.1134,                 1.5886,                 3.1309,                 1.1486,             8.1328e-07,             8.1328e-07,             8.1328e-07
                    145,                 1.4546,                 2.7647,                 1.2158,                 0.8381,                0.10906,                0.21649,                0.11421,                 1.5884,                 3.1254,                 1.1486,             8.1084e-07,             8.1084e-07,             8.1084e-07
                    146,                 1.4444,                 2.7372,                 1.2166,                0.83826,                0.10919,                0.21901,                0.11573,                 1.5886,                 3.1231,                 1.1482,             8.0839e-07,             8.0839e-07,             8.0839e-07
                    147,                 1.4378,                 2.7318,                  1.213,                0.83179,                0.11112,                0.22123,                0.11751,                  1.588,                 3.1197,                 1.1477,             8.0593e-07,             8.0593e-07,             8.0593e-07
                    148,                 1.4569,                 2.7402,                 1.2182,                0.84135,                0.11545,                0.22517,                0.11914,                  1.589,                 3.1174,                 1.1475,             8.0345e-07,             8.0345e-07,             8.0345e-07
                    149,                 1.4621,                 2.7598,                 1.2106,                0.84257,                0.11651,                 0.2252,                0.11934,                 1.5882,                 3.1145,                 1.1473,             8.0096e-07,             8.0096e-07,             8.0096e-07
                    150,                 1.4491,                 2.7297,                 1.2147,                0.83592,                0.11807,                0.22645,                0.11983,                 1.5883,                 3.1149,                 1.1471,             7.9846e-07,             7.9846e-07,             7.9846e-07
                    151,                 1.4311,                 2.7306,                 1.2093,                0.83711,                 0.1191,                0.22748,                0.12112,                 1.5879,                 3.1135,                 1.1466,             7.9595e-07,             7.9595e-07,             7.9595e-07
                    152,                 1.4543,                 2.7346,                  1.218,                0.83992,                0.12159,                0.22917,                0.12211,                  1.588,                 3.1105,                 1.1461,             7.9343e-07,             7.9343e-07,             7.9343e-07
                    153,                  1.457,                 2.7458,                 1.2124,                0.84365,                0.12126,                0.22999,                0.12225,                 1.5888,                 3.1087,                 1.1465,              7.909e-07,              7.909e-07,              7.909e-07
                    154,                 1.4513,                   2.73,                 1.2152,                0.84435,                0.12191,                0.23034,                0.12198,                 1.5875,                  3.109,                 1.1462,             7.8835e-07,             7.8835e-07,             7.8835e-07
                    155,                 1.4606,                 2.7389,                 1.2119,                0.84329,                0.12093,                  0.229,                0.12145,                  1.588,                 3.1117,                 1.1461,              7.858e-07,              7.858e-07,              7.858e-07
                    156,                 1.4371,                 2.7112,                 1.2084,                0.84638,                0.12381,                0.23148,                0.12333,                 1.5884,                  3.108,                 1.1461,             7.8323e-07,             7.8323e-07,             7.8323e-07
                    157,                 1.4543,                 2.7257,                 1.2133,                0.84569,                 0.1243,                0.23177,                0.12318,                  1.588,                 3.1074,                 1.1455,             7.8065e-07,             7.8065e-07,             7.8065e-07
                    158,                 1.4367,                 2.7084,                 1.2079,                0.84805,                0.12542,                0.23736,                0.12575,                 1.5877,                 3.1013,                 1.1444,             7.7806e-07,             7.7806e-07,             7.7806e-07
                    159,                 1.4275,                 2.7188,                 1.2064,                0.85384,                0.12717,                0.23803,                  0.127,                 1.5872,                 3.1002,                 1.1441,             7.7547e-07,             7.7547e-07,             7.7547e-07
                    160,                 1.4521,                 2.7236,                 1.2111,                 0.8474,                0.12479,                0.23645,                0.12592,                  1.587,                 3.1019,                 1.1443,             7.7286e-07,             7.7286e-07,             7.7286e-07
                    161,                 1.4684,                 2.7131,                 1.2087,                0.84907,                0.12642,                0.23767,                0.12712,                 1.5867,                 3.0964,                 1.1435,             7.7023e-07,             7.7023e-07,             7.7023e-07
                    162,                 1.4433,                 2.7141,                 1.2028,                0.85018,                0.12752,                0.23833,                 0.1276,                 1.5856,                 3.0955,                 1.1432,              7.676e-07,              7.676e-07,              7.676e-07
                    163,                 1.4459,                 2.7134,                 1.2031,                0.85466,                0.12802,                0.24085,                0.12856,                  1.584,                 3.0938,                 1.1425,             7.6496e-07,             7.6496e-07,             7.6496e-07
                    164,                 1.4476,                 2.7064,                 1.2032,                0.84146,                0.13045,                0.24205,                0.12917,                 1.5842,                  3.091,                 1.1418,             7.6231e-07,             7.6231e-07,             7.6231e-07
                    165,                 1.4563,                 2.7239,                 1.2106,                0.83875,                0.12921,                0.24019,                0.12834,                 1.5843,                   3.09,                 1.1422,             7.5965e-07,             7.5965e-07,             7.5965e-07
                    166,                 1.4569,                 2.7021,                 1.2108,                0.84481,                0.12998,                0.24206,                0.12983,                 1.5843,                 3.0897,                 1.1418,             7.5698e-07,             7.5698e-07,             7.5698e-07
                    167,                 1.4426,                 2.6914,                 1.2042,                 0.8458,                0.13096,                 0.2429,                0.12984,                 1.5837,                 3.0877,                 1.1417,             7.5429e-07,             7.5429e-07,             7.5429e-07
                    168,                 1.4605,                 2.6946,                 1.2059,                0.84915,                0.13441,                0.24579,                0.13169,                  1.583,                 3.0856,                 1.1406,              7.516e-07,              7.516e-07,              7.516e-07
                    169,                  1.453,                 2.7039,                 1.2085,                0.84263,                0.13537,                0.24648,                0.13237,                 1.5836,                 3.0838,                 1.1407,              7.489e-07,              7.489e-07,              7.489e-07
                    170,                 1.4411,                 2.6919,                 1.1992,                0.83553,                0.13557,                0.24644,                0.13213,                 1.5833,                 3.0823,                 1.1405,             7.4619e-07,             7.4619e-07,             7.4619e-07
                    171,                 1.4496,                 2.6859,                 1.2074,                0.83594,                0.13597,                0.24925,                0.13347,                 1.5837,                 3.0797,                 1.1404,             7.4347e-07,             7.4347e-07,             7.4347e-07
                    172,                  1.428,                 2.6523,                 1.2014,                0.83876,                0.13882,                0.25206,                0.13493,                 1.5824,                 3.0752,                 1.1393,             7.4074e-07,             7.4074e-07,             7.4074e-07
                    173,                 1.4598,                 2.6877,                 1.2088,                0.83851,                0.13856,                0.25259,                0.13533,                 1.5826,                 3.0757,                 1.1392,               7.38e-07,               7.38e-07,               7.38e-07
                    174,                 1.4487,                 2.6738,                 1.2069,                0.83688,                0.13904,                0.25313,                0.13562,                 1.5835,                 3.0735,                 1.1393,             7.3525e-07,             7.3525e-07,             7.3525e-07
                    175,                 1.4356,                 2.6706,                 1.2043,                0.83251,                0.14045,                0.25686,                0.13762,                 1.5834,                 3.0704,                 1.1388,             7.3249e-07,             7.3249e-07,             7.3249e-07
                    176,                 1.4465,                 2.6595,                 1.2109,                 0.8362,                0.13981,                 0.2587,                0.13835,                 1.5828,                 3.0692,                 1.1386,             7.2973e-07,             7.2973e-07,             7.2973e-07
                    177,                 1.4294,                 2.6761,                 1.1981,                0.83423,                0.14136,                0.25958,                 0.1387,                 1.5826,                 3.0681,                 1.1383,             7.2695e-07,             7.2695e-07,             7.2695e-07
                    178,                 1.4359,                 2.6705,                 1.1951,                0.83805,                0.14173,                0.25999,                0.13953,                 1.5813,                 3.0669,                 1.1378,             7.2417e-07,             7.2417e-07,             7.2417e-07
                    179,                 1.4653,                 2.6751,                 1.2072,                0.83735,                0.14185,                0.25951,                0.13907,                 1.5812,                  3.068,                  1.138,             7.2137e-07,             7.2137e-07,             7.2137e-07
                    180,                  1.464,                 2.6791,                 1.2012,                0.83518,                0.14256,                 0.2598,                0.13955,                 1.5806,                 3.0641,                 1.1378,             7.1857e-07,             7.1857e-07,             7.1857e-07
                    181,                 1.4624,                 2.6752,                 1.2077,                0.83039,                0.14326,                0.26307,                 0.1408,                 1.5805,                 3.0598,                 1.1372,             7.1576e-07,             7.1576e-07,             7.1576e-07
                    182,                 1.4454,                 2.6657,                 1.2003,                0.83165,                0.14326,                0.26398,                0.14155,                 1.5809,                 3.0606,                 1.1374,             7.1294e-07,             7.1294e-07,             7.1294e-07
                    183,                 1.4513,                 2.6706,                 1.1953,                0.82933,                0.14396,                0.26123,                0.14035,                 1.5805,                 3.0618,                 1.1374,             7.1012e-07,             7.1012e-07,             7.1012e-07
                    184,                 1.4459,                 2.6697,                 1.1967,                0.82314,                0.14396,                0.26023,                0.13981,                 1.5809,                 3.0617,                 1.1378,             7.0728e-07,             7.0728e-07,             7.0728e-07
                    185,                 1.4589,                 2.6721,                 1.2033,                0.82646,                0.14381,                0.25938,                0.13984,                 1.5813,                   3.06,                 1.1379,             7.0444e-07,             7.0444e-07,             7.0444e-07
                    186,                 1.4343,                 2.6498,                 1.1933,                0.81935,                0.14256,                0.25861,                0.13934,                  1.581,                 3.0627,                  1.138,             7.0159e-07,             7.0159e-07,             7.0159e-07
                    187,                 1.4431,                 2.6392,                 1.2065,                0.81776,                0.14495,                0.26205,                0.14139,                 1.5802,                 3.0575,                 1.1374,             6.9873e-07,             6.9873e-07,             6.9873e-07
                    188,                 1.4285,                 2.6567,                 1.1981,                0.82785,                0.14747,                 0.2661,                0.14246,                 1.5793,                 3.0541,                 1.1367,             6.9586e-07,             6.9586e-07,             6.9586e-07
                    189,                 1.4411,                 2.6574,                 1.1985,                0.82342,                0.14677,                0.26694,                0.14344,                 1.5789,                 3.0534,                 1.1364,             6.9299e-07,             6.9299e-07,             6.9299e-07
                    190,                 1.4364,                 2.6542,                 1.1922,                0.82192,                0.14909,                0.26812,                 0.1442,                 1.5794,                 3.0506,                 1.1363,             6.9011e-07,             6.9011e-07,             6.9011e-07
                    191,                 1.4428,                 2.6575,                 1.1952,                0.82276,                0.14669,                0.26612,                0.14353,                 1.5788,                 3.0507,                 1.1364,             6.8722e-07,             6.8722e-07,             6.8722e-07
                    192,                 1.4406,                 2.6283,                 1.1959,                0.82071,                0.14817,                 0.2686,                0.14484,                 1.5785,                 3.0477,                 1.1359,             6.8433e-07,             6.8433e-07,             6.8433e-07
                    193,                 1.4569,                 2.6578,                 1.2084,                0.82051,                0.15088,                0.27228,                0.14644,                 1.5785,                 3.0449,                 1.1355,             6.8142e-07,             6.8142e-07,             6.8142e-07
                    194,                 1.4528,                 2.6322,                 1.2003,                0.81911,                0.15098,                0.27217,                0.14694,                 1.5795,                  3.042,                 1.1357,             6.7851e-07,             6.7851e-07,             6.7851e-07
                    195,                 1.4587,                 2.6516,                 1.2013,                0.81864,                0.15216,                 0.2726,                0.14791,                 1.5785,                 3.0386,                 1.1353,              6.756e-07,              6.756e-07,              6.756e-07
                    196,                 1.4341,                 2.6436,                 1.1896,                0.81453,                0.15111,                0.27331,                0.14727,                 1.5782,                 3.0401,                 1.1352,             6.7268e-07,             6.7268e-07,             6.7268e-07
                    197,                 1.4482,                 2.6407,                 1.2034,                0.81868,                0.15239,                0.27254,                0.14722,                 1.5781,                 3.0419,                 1.1354,             6.6975e-07,             6.6975e-07,             6.6975e-07
                    198,                 1.4344,                 2.6208,                 1.1891,                0.82187,                0.15239,                0.27275,                0.14742,                 1.5782,                  3.042,                 1.1354,             6.6681e-07,             6.6681e-07,             6.6681e-07
                    199,                 1.4424,                 2.6171,                 1.1974,                0.81927,                 0.1528,                0.27428,                0.14863,                 1.5789,                  3.036,                 1.1351,             6.6387e-07,             6.6387e-07,             6.6387e-07
                    200,                 1.4227,                 2.6102,                 1.1923,                0.82304,                0.15351,                0.27646,                0.14948,                 1.5784,                 3.0335,                 1.1346,             6.6092e-07,             6.6092e-07,             6.6092e-07
                    201,                 1.4427,                  2.618,                 1.1958,                0.81908,                0.15449,                0.27826,                0.15079,                 1.5791,                 3.0304,                 1.1341,             6.5796e-07,             6.5796e-07,             6.5796e-07
                    202,                 1.4621,                 2.6291,                 1.2019,                0.81933,                 0.1573,                0.27857,                0.15088,                 1.5789,                 3.0303,                  1.134,               6.55e-07,               6.55e-07,               6.55e-07
                    203,                 1.4558,                 2.6355,                  1.198,                0.82026,                0.16024,                0.28018,                0.15172,                 1.5792,                 3.0273,                 1.1337,             6.5204e-07,             6.5204e-07,             6.5204e-07
                    204,                 1.4569,                 2.6433,                 1.1931,                0.81111,                0.15983,                0.28084,                0.15176,                 1.5785,                 3.0253,                 1.1337,             6.4906e-07,             6.4906e-07,             6.4906e-07
                    205,                 1.4676,                 2.6338,                 1.2005,                0.82449,                0.16165,                0.28223,                0.15248,                 1.5786,                 3.0253,                 1.1335,             6.4608e-07,             6.4608e-07,             6.4608e-07
                    206,                 1.4384,                 2.6175,                 1.1861,                0.82379,                0.16222,                 0.2825,                0.15213,                 1.5778,                 3.0249,                  1.133,              6.431e-07,              6.431e-07,              6.431e-07
                    207,                 1.4306,                 2.6117,                 1.1889,                0.81785,                0.16396,                0.28346,                0.15316,                 1.5784,                 3.0211,                 1.1332,             6.4011e-07,             6.4011e-07,             6.4011e-07
                    208,                 1.4302,                 2.5911,                 1.1895,                 0.8265,                0.16727,                0.28617,                 0.1544,                 1.5789,                 3.0176,                  1.133,             6.3712e-07,             6.3712e-07,             6.3712e-07
                    209,                  1.449,                 2.5913,                 1.1986,                0.82939,                0.16727,                0.28746,                0.15586,                 1.5778,                 3.0184,                 1.1324,             6.3412e-07,             6.3412e-07,             6.3412e-07
                    210,                 1.4496,                   2.61,                 1.2032,                0.82554,                0.16615,                0.28575,                0.15544,                 1.5781,                 3.0165,                 1.1323,             6.3111e-07,             6.3111e-07,             6.3111e-07
                    211,                 1.4196,                 2.6115,                 1.1862,                0.82636,                0.16376,                0.28558,                0.15467,                 1.5782,                 3.0202,                 1.1325,              6.281e-07,              6.281e-07,              6.281e-07
                    212,                 1.4321,                 2.5951,                 1.1924,                0.82932,                0.16854,                0.28815,                0.15587,                 1.5781,                 3.0159,                 1.1321,             6.2509e-07,             6.2509e-07,             6.2509e-07
                    213,                 1.4486,                  2.612,                 1.1943,                0.82325,                0.16573,                0.28721,                0.15578,                 1.5783,                  3.016,                  1.132,             6.2207e-07,             6.2207e-07,             6.2207e-07
                    214,                  1.438,                 2.6095,                 1.1825,                0.82645,                0.16643,                0.28743,                0.15568,                  1.578,                 3.0137,                 1.1323,             6.1904e-07,             6.1904e-07,             6.1904e-07
                    215,                 1.4355,                 2.6026,                 1.1839,                0.82782,                0.16882,                0.28805,                0.15571,                  1.578,                 3.0147,                 1.1318,             6.1601e-07,             6.1601e-07,             6.1601e-07
                    216,                 1.4373,                 2.5894,                 1.1917,                0.82888,                0.17008,                0.28909,                0.15614,                 1.5783,                 3.0138,                 1.1317,             6.1298e-07,             6.1298e-07,             6.1298e-07
                    217,                 1.4359,                 2.6013,                 1.1877,                0.82557,                 0.1695,                0.28892,                0.15617,                 1.5771,                 3.0128,                 1.1313,             6.0994e-07,             6.0994e-07,             6.0994e-07
                    218,                 1.4397,                 2.5935,                  1.193,                0.82889,                0.17349,                0.29308,                0.15758,                 1.5769,                 3.0095,                 1.1309,              6.069e-07,              6.069e-07,              6.069e-07
                    219,                 1.4424,                 2.5877,                 1.1846,                0.82844,                0.17416,                0.29301,                0.15745,                 1.5772,                 3.0087,                 1.1312,             6.0386e-07,             6.0386e-07,             6.0386e-07
                    220,                  1.455,                 2.6145,                 1.1908,                0.83159,                0.17338,                0.29215,                0.15746,                 1.5779,                 3.0076,                 1.1313,             6.0081e-07,             6.0081e-07,             6.0081e-07
                    221,                  1.459,                 2.5985,                 1.1991,                0.82495,                 0.1754,                0.29264,                0.15714,                 1.5782,                 3.0093,                 1.1313,             5.9775e-07,             5.9775e-07,             5.9775e-07
                    222,                 1.4206,                 2.5914,                   1.19,                0.82842,                0.17631,                0.29218,                0.15682,                 1.5775,                 3.0097,                 1.1314,              5.947e-07,              5.947e-07,              5.947e-07
                    223,                 1.4272,                 2.5722,                 1.1856,                0.83257,                0.17809,                0.29548,                0.15836,                 1.5773,                 3.0047,                  1.131,             5.9164e-07,             5.9164e-07,             5.9164e-07
                    224,                 1.4517,                 2.5918,                 1.1924,                0.83305,                0.17871,                0.29569,                0.15825,                 1.5765,                 3.0044,                 1.1307,             5.8857e-07,             5.8857e-07,             5.8857e-07
                    225,                 1.4202,                 2.5652,                 1.1856,                0.83344,                0.17921,                0.29437,                0.15854,                 1.5765,                 3.0061,                 1.1307,             5.8551e-07,             5.8551e-07,             5.8551e-07
                    226,                 1.4363,                 2.5857,                 1.1822,                0.83414,                0.18012,                0.29663,                0.15917,                 1.5757,                 3.0044,                 1.1304,             5.8244e-07,             5.8244e-07,             5.8244e-07
                    227,                 1.4243,                 2.5791,                 1.1808,                0.83015,                0.18191,                0.29792,                0.15993,                 1.5764,                 2.9996,                 1.1304,             5.7936e-07,             5.7936e-07,             5.7936e-07
                    228,                  1.421,                 2.5706,                 1.1838,                0.82834,                0.18188,                0.29794,                0.16043,                 1.5763,                 2.9983,                 1.1299,             5.7629e-07,             5.7629e-07,             5.7629e-07
                    229,                 1.4406,                 2.5498,                 1.1916,                0.83811,                0.18542,                0.30142,                0.16252,                 1.5754,                 2.9937,                  1.129,             5.7321e-07,             5.7321e-07,             5.7321e-07
                    230,                 1.4447,                 2.5617,                 1.1904,                0.83517,                0.18503,                0.30076,                0.16234,                 1.5764,                 2.9914,                 1.1294,             5.7012e-07,             5.7012e-07,             5.7012e-07
                    231,                 1.4372,                 2.5617,                 1.1872,                0.83848,                 0.1882,                0.30292,                 0.1633,                 1.5758,                  2.988,                  1.129,             5.6704e-07,             5.6704e-07,             5.6704e-07
                    232,                  1.434,                 2.5851,                 1.1879,                0.83783,                 0.1882,                0.30515,                0.16408,                 1.5761,                 2.9866,                 1.1283,             5.6395e-07,             5.6395e-07,             5.6395e-07
                    233,                 1.4195,                  2.555,                 1.1776,                0.84055,                 0.1888,                0.30609,                 0.1648,                 1.5762,                 2.9852,                 1.1281,             5.6086e-07,             5.6086e-07,             5.6086e-07
                    234,                 1.4422,                 2.5788,                 1.1785,                0.84136,                0.18995,                0.30511,                0.16432,                 1.5763,                 2.9849,                 1.1282,             5.5777e-07,             5.5777e-07,             5.5777e-07
                    235,                 1.4413,                 2.5601,                 1.1841,                0.83159,                0.19073,                0.30479,                0.16477,                 1.5771,                 2.9814,                  1.128,             5.5468e-07,             5.5468e-07,             5.5468e-07
                    236,                 1.4308,                  2.569,                 1.1805,                0.83514,                0.18855,                0.30504,                0.16439,                 1.5765,                 2.9846,                 1.1282,             5.5158e-07,             5.5158e-07,             5.5158e-07
                    237,                 1.4522,                 2.5723,                 1.1895,                0.83601,                0.18974,                0.30528,                0.16455,                  1.577,                 2.9818,                 1.1283,             5.4849e-07,             5.4849e-07,             5.4849e-07
                    238,                 1.4434,                 2.5725,                 1.1846,                0.83342,                0.19242,                0.30577,                0.16515,                 1.5769,                 2.9799,                 1.1276,             5.4539e-07,             5.4539e-07,             5.4539e-07
                    239,                 1.4337,                 2.5527,                 1.1825,                0.83677,                 0.1944,                 0.3081,                0.16625,                 1.5773,                 2.9771,                 1.1275,             5.4229e-07,             5.4229e-07,             5.4229e-07
                    240,                 1.4446,                 2.5682,                 1.1918,                 0.8369,                0.19459,                0.30935,                0.16684,                 1.5773,                 2.9767,                 1.1275,             5.3918e-07,             5.3918e-07,             5.3918e-07
                    241,                 1.4532,                 2.5755,                 1.1854,                0.83379,                0.19375,                0.30759,                 0.1661,                 1.5767,                 2.9773,                 1.1275,             5.3608e-07,             5.3608e-07,             5.3608e-07
                    242,                 1.4357,                 2.5785,                 1.1766,                0.83586,                0.19452,                0.30758,                0.16548,                 1.5773,                 2.9796,                 1.1283,             5.3298e-07,             5.3298e-07,             5.3298e-07
                    243,                 1.4226,                 2.5545,                 1.1769,                0.83302,                0.19268,                 0.3047,                0.16484,                 1.5762,                   2.98,                 1.1282,             5.2987e-07,             5.2987e-07,             5.2987e-07
                    244,                 1.4453,                 2.5415,                  1.184,                0.84011,                0.19556,                0.30673,                0.16542,                 1.5767,                  2.979,                 1.1282,             5.2676e-07,             5.2676e-07,             5.2676e-07
                    245,                 1.4414,                 2.5459,                 1.1891,                0.84387,                0.19736,                0.30854,                0.16568,                  1.576,                 2.9792,                 1.1278,             5.2366e-07,             5.2366e-07,             5.2366e-07
                    246,                 1.4409,                 2.5528,                  1.181,                0.84068,                 0.1964,                0.30811,                0.16619,                 1.5764,                 2.9789,                 1.1277,             5.2055e-07,             5.2055e-07,             5.2055e-07
                    247,                 1.4498,                 2.5543,                 1.1823,                0.83892,                 0.1975,                0.30911,                 0.1665,                 1.5767,                 2.9773,                 1.1278,             5.1744e-07,             5.1744e-07,             5.1744e-07
                    248,                 1.4345,                 2.5499,                 1.1832,                0.84209,                0.19847,                0.30987,                0.16636,                 1.5762,                 2.9762,                 1.1276,             5.1433e-07,             5.1433e-07,             5.1433e-07
                    249,                 1.4325,                 2.5579,                 1.1804,                0.84555,                0.19991,                0.31008,                0.16636,                 1.5757,                  2.978,                 1.1277,             5.1122e-07,             5.1122e-07,             5.1122e-07
                    250,                 1.4547,                 2.5434,                 1.1865,                0.84025,                0.20014,                0.31136,                0.16712,                 1.5763,                 2.9734,                 1.1274,             5.0811e-07,             5.0811e-07,             5.0811e-07
                    251,                 1.4298,                 2.5345,                 1.1801,                0.83899,                0.20126,                0.31324,                0.16856,                 1.5764,                 2.9694,                 1.1267,               5.05e-07,               5.05e-07,               5.05e-07
                    252,                 1.4452,                 2.5459,                 1.1871,                0.83863,                0.20437,                 0.3149,                0.17026,                 1.5763,                 2.9662,                 1.1262,             5.0189e-07,             5.0189e-07,             5.0189e-07
                    253,                 1.4566,                 2.5497,                  1.186,                0.83573,                0.20576,                0.31583,                0.17014,                 1.5765,                 2.9645,                 1.1265,             4.9878e-07,             4.9878e-07,             4.9878e-07
                    254,                 1.4454,                 2.5359,                 1.1833,                0.83947,                0.20565,                0.31574,                0.16973,                 1.5764,                 2.9646,                 1.1267,             4.9567e-07,             4.9567e-07,             4.9567e-07
                    255,                 1.4555,                  2.557,                 1.1893,                0.84026,                0.20686,                0.31731,                0.17055,                 1.5762,                 2.9626,                 1.1266,             4.9256e-07,             4.9256e-07,             4.9256e-07
                    256,                 1.4198,                  2.539,                 1.1743,                0.84232,                0.20633,                0.31654,                0.17043,                 1.5767,                 2.9618,                 1.1265,             4.8945e-07,             4.8945e-07,             4.8945e-07
                    257,                 1.4381,                 2.5369,                 1.1826,                0.84058,                0.20646,                0.31792,                0.17094,                 1.5767,                  2.959,                 1.1266,             4.8634e-07,             4.8634e-07,             4.8634e-07
                    258,                 1.4592,                  2.555,                 1.1877,                0.83959,                0.20646,                0.31698,                0.17064,                 1.5766,                 2.9621,                 1.1268,             4.8324e-07,             4.8324e-07,             4.8324e-07
                    259,                 1.4319,                 2.5421,                 1.1789,                0.84125,                0.20646,                0.31788,                0.17111,                 1.5765,                 2.9617,                 1.1267,             4.8013e-07,             4.8013e-07,             4.8013e-07
                    260,                 1.4302,                 2.5509,                 1.1737,                0.84142,                0.20716,                0.32066,                0.17165,                 1.5763,                   2.96,                 1.1266,             4.7702e-07,             4.7702e-07,             4.7702e-07
                    261,                 1.4523,                 2.5559,                 1.1855,                0.83537,                0.20668,                0.31836,                0.17151,                 1.5765,                 2.9603,                 1.1268,             4.7392e-07,             4.7392e-07,             4.7392e-07
                    262,                 1.4182,                 2.5161,                 1.1801,                0.83697,                0.20927,                0.32013,                0.17214,                 1.5767,                 2.9572,                 1.1266,             4.7082e-07,             4.7082e-07,             4.7082e-07
                    263,                 1.4249,                 2.5269,                 1.1781,                0.83738,                0.20974,                0.32175,                0.17302,                 1.5776,                 2.9526,                 1.1261,             4.6771e-07,             4.6771e-07,             4.6771e-07
                    264,                 1.4467,                 2.5387,                 1.1823,                0.83883,                0.21199,                0.32284,                0.17343,                 1.5769,                 2.9508,                 1.1257,             4.6461e-07,             4.6461e-07,             4.6461e-07
                    265,                 1.4244,                 2.5067,                 1.1806,                0.83691,                0.21262,                0.32387,                0.17468,                 1.5772,                 2.9457,                 1.1256,             4.6151e-07,             4.6151e-07,             4.6151e-07
                    266,                 1.4345,                 2.5143,                 1.1793,                0.84357,                0.21278,                0.32539,                0.17589,                 1.5761,                 2.9441,                 1.1248,             4.5842e-07,             4.5842e-07,             4.5842e-07
                    267,                 1.4466,                 2.5165,                 1.1815,                0.83906,                0.21601,                0.32685,                 0.1766,                  1.577,                 2.9444,                 1.1253,             4.5532e-07,             4.5532e-07,             4.5532e-07
                    268,                 1.4273,                 2.5146,                 1.1818,                 0.8355,                0.21757,                0.32874,                0.17753,                 1.5773,                 2.9402,                 1.1252,             4.5223e-07,             4.5223e-07,             4.5223e-07
                    269,                  1.445,                 2.5254,                 1.1763,                 0.8344,                0.21938,                0.32884,                0.17713,                 1.5774,                 2.9395,                 1.1256,             4.4914e-07,             4.4914e-07,             4.4914e-07
                    270,                 1.4398,                 2.5277,                 1.1775,                0.83363,                0.21699,                0.32728,                0.17567,                 1.5779,                 2.9415,                 1.1257,             4.4605e-07,             4.4605e-07,             4.4605e-07
                    271,                 1.4424,                 2.5288,                 1.1826,                0.83292,                 0.2177,                0.32722,                0.17559,                 1.5769,                 2.9419,                 1.1253,             4.4296e-07,             4.4296e-07,             4.4296e-07
                    272,                 1.4442,                 2.5155,                 1.1821,                0.83319,                 0.2177,                 0.3264,                0.17581,                 1.5778,                 2.9422,                 1.1259,             4.3988e-07,             4.3988e-07,             4.3988e-07
                    273,                 1.4451,                  2.524,                 1.1797,                0.82843,                0.21701,                0.32727,                  0.176,                 1.5783,                 2.9409,                 1.1257,             4.3679e-07,             4.3679e-07,             4.3679e-07
                    274,                 1.4432,                 2.5274,                 1.1807,                0.82776,                0.21699,                0.32707,                0.17626,                  1.579,                 2.9398,                  1.126,             4.3371e-07,             4.3371e-07,             4.3371e-07
                    275,                  1.454,                 2.5179,                  1.185,                0.82981,                0.21699,                 0.3272,                0.17614,                 1.5788,                 2.9384,                 1.1259,             4.3064e-07,             4.3064e-07,             4.3064e-07
                    276,                 1.4387,                 2.5035,                 1.1856,                0.82998,                0.21699,                0.32574,                 0.1756,                 1.5778,                 2.9411,                  1.126,             4.2756e-07,             4.2756e-07,             4.2756e-07
                    277,                  1.436,                 2.5242,                 1.1742,                   0.83,                0.21944,                0.32938,                0.17741,                  1.578,                 2.9371,                 1.1256,             4.2449e-07,             4.2449e-07,             4.2449e-07
                    278,                 1.4383,                 2.5055,                 1.1814,                0.82938,                0.21846,                0.32923,                0.17673,                 1.5782,                 2.9379,                 1.1257,             4.2143e-07,             4.2143e-07,             4.2143e-07
                    279,                 1.4526,                 2.5243,                 1.1804,                0.82609,                 0.2198,                0.32956,                0.17697,                 1.5785,                 2.9364,                  1.126,             4.1836e-07,             4.1836e-07,             4.1836e-07
                    280,                 1.4344,                 2.5174,                  1.174,                0.82691,                 0.2191,                0.32815,                0.17655,                 1.5778,                  2.938,                 1.1258,              4.153e-07,              4.153e-07,              4.153e-07
                    281,                 1.4226,                 2.4998,                 1.1707,                0.83076,                 0.2184,                  0.329,                0.17663,                 1.5783,                 2.9367,                 1.1257,             4.1225e-07,             4.1225e-07,             4.1225e-07
                    282,                 1.4524,                 2.5268,                 1.1813,                0.82981,                 0.2184,                0.32978,                0.17758,                 1.5779,                 2.9338,                 1.1256,             4.0919e-07,             4.0919e-07,             4.0919e-07
